using saved model.
no saved model.
start learning - 2017-02-02 19:35:50.958000
ep: 100, running mean: -1.882378
ep: 200, running mean: -1.605718
ep: 300, running mean: -1.396418
ep: 400, running mean: -1.225015
ep: 500, running mean: -1.104963
ep: 600, running mean: -1.002226
ep: 700, running mean: -0.845466
ep: 800, running mean: -0.554396
ep: 900, running mean: -0.456382
ep: 1000, running mean: -0.433696
ep: 1100, running mean: -0.318347
ep: 1200, running mean: -0.305809
ep: 1300, running mean: -0.124531
ep: 1400, running mean: -0.244867
ep: 1500, running mean: -0.105158
ep: 1600, running mean: -0.000144
ep: 1700, running mean: 0.016678
ep: 1800, running mean: 0.073307
ep: 1900, running mean: 0.275817
ep: 2000, running mean: 0.365141
ep: 2100, running mean: 0.408251
ep: 2200, running mean: 0.435715
ep: 2300, running mean: 0.465545
ep: 2400, running mean: 0.460108
ep: 2500, running mean: 0.512223
ep: 2600, running mean: 0.503087
ep: 2700, running mean: 0.494775
ep: 2800, running mean: 0.599125
ep: 2900, running mean: 0.543363
ep: 3000, running mean: 0.777929
ep: 3100, running mean: 0.703826
ep: 3200, running mean: 0.654175
ep: 3300, running mean: 0.665271
ep: 3400, running mean: 0.562605
ep: 3500, running mean: 0.547825
ep: 3600, running mean: 0.610616
ep: 3700, running mean: 0.725331
ep: 3800, running mean: 0.850861
ep: 3900, running mean: 0.807042
ep: 4000, running mean: 0.842522
ep: 4100, running mean: 0.958349
ep: 4200, running mean: 1.074255
ep: 4300, running mean: 1.105560
ep: 4400, running mean: 1.075968
ep: 4500, running mean: 1.068979
ep: 4600, running mean: 1.048425
ep: 4700, running mean: 0.779660
ep: 4800, running mean: 0.838692
ep: 4900, running mean: 0.801978
ep: 5000, running mean: 0.860944
ep: 5100, running mean: 0.725702
ep: 5200, running mean: 0.929175
ep: 5300, running mean: 0.823997
ep: 5400, running mean: 0.819402
ep: 5500, running mean: 0.735449
ep: 5600, running mean: 0.742019
ep: 5700, running mean: 0.788683
ep: 5800, running mean: 0.826304
ep: 5900, running mean: 0.770375
ep: 6000, running mean: 0.756158
ep: 6100, running mean: 0.801291
ep: 6200, running mean: 0.842482
ep: 6300, running mean: 0.666458
ep: 6400, running mean: 0.735715
ep: 6500, running mean: 0.822007
ep: 6600, running mean: 0.797047
ep: 6700, running mean: 0.660684
ep: 6800, running mean: 0.790908
ep: 6900, running mean: 0.730637
ep: 7000, running mean: 0.586829
ep: 7100, running mean: 0.415040
ep: 7200, running mean: 0.506457
ep: 7300, running mean: 0.379737
ep: 7400, running mean: 0.554861
ep: 7500, running mean: 0.659403
ep: 7600, running mean: 0.748615
ep: 7700, running mean: 0.756826
ep: 7800, running mean: 0.818231
ep: 7900, running mean: 0.892448
ep: 8000, running mean: 0.902616
ep: 8100, running mean: 0.857253
ep: 8200, running mean: 0.869444
ep: 8300, running mean: 0.858366
ep: 8400, running mean: 0.738848
ep: 8500, running mean: 0.844667
ep: 8600, running mean: 0.761866
ep: 8700, running mean: 0.799207
ep: 8800, running mean: 0.756055
ep: 8900, running mean: 0.798874
ep: 9000, running mean: 0.804946
ep: 9100, running mean: 0.767178
ep: 9200, running mean: 0.698824
ep: 9300, running mean: 0.884327
ep: 9400, running mean: 0.877109
ep: 9500, running mean: 0.825929
ep: 9600, running mean: 0.786956
ep: 9700, running mean: 0.902731
ep: 9800, running mean: 0.854302
ep: 9900, running mean: 0.866037
ep: 10000, running mean: 0.975590
ep: 10100, running mean: 0.993620
ep: 10200, running mean: 0.955247
ep: 10300, running mean: 0.957590
ep: 10400, running mean: 1.112631
ep: 10500, running mean: 1.104115
ep: 10600, running mean: 1.132232
ep: 10700, running mean: 1.116751
ep: 10800, running mean: 1.257863
ep: 10900, running mean: 1.098956
ep: 11000, running mean: 1.048501
ep: 11100, running mean: 1.005780
ep: 11200, running mean: 0.967032
ep: 11300, running mean: 0.988301
ep: 11400, running mean: 0.914167
ep: 11500, running mean: 0.883148
ep: 11600, running mean: 0.915186
ep: 11700, running mean: 0.768241
ep: 11800, running mean: 0.927506
ep: 11900, running mean: 0.896358
ep: 12000, running mean: 0.617351
ep: 12100, running mean: 0.633296
ep: 12200, running mean: 0.610805
ep: 12300, running mean: 0.708948
ep: 12400, running mean: 0.638823
ep: 12500, running mean: 0.729597
using saved model.
ep: 12600, running mean: 0.752138
ep: 12700, running mean: 0.868718
ep: 12800, running mean: 0.993614
ep: 12900, running mean: 0.980105
ep: 13000, running mean: 0.927900
ep: 13100, running mean: 0.972955
ep: 13200, running mean: 0.806897
ep: 13300, running mean: 0.879294
ep: 13400, running mean: 0.794276
ep: 13500, running mean: 0.850384
ep: 13600, running mean: 0.812294
ep: 13700, running mean: 0.736579
