using saved model.
start training - 2017-02-05 18:22:43.968000
ep: 100, running mean: 9.846825
replace opponent model now: ep 100
running mean: 9.846824791
ep: 200, running mean: -7.538968
ep: 300, running mean: -7.101946
ep: 400, running mean: -6.649450
ep: 500, running mean: -5.974986
ep: 600, running mean: -5.479917
ep: 700, running mean: -4.955215
ep: 800, running mean: -4.289187
ep: 900, running mean: -3.516175
ep: 1000, running mean: -3.071112
ep: 1100, running mean: -2.355802
ep: 1200, running mean: -1.804394
ep: 1300, running mean: -1.252293
ep: 1400, running mean: -0.787320
ep: 1500, running mean: -0.309132
ep: 1600, running mean: 0.082345
ep: 1700, running mean: 0.439620
ep: 1800, running mean: 0.929228
ep: 1900, running mean: 1.374854
ep: 2000, running mean: 1.663607
ep: 2100, running mean: 2.041359
ep: 2200, running mean: 2.205361
ep: 2300, running mean: 2.566836
ep: 2400, running mean: 2.970201
ep: 2500, running mean: 3.358275
ep: 2600, running mean: 3.631094
ep: 2700, running mean: 3.971557
ep: 2800, running mean: 3.937802
ep: 2900, running mean: 4.271262
replace opponent model now: ep 2900
running mean: 4.27126158817
ep: 3000, running mean: 5.825233
replace opponent model now: ep 3000
running mean: 5.82523312327
ep: 3100, running mean: 3.981395
ep: 3200, running mean: 3.846109
ep: 3300, running mean: 3.627649
ep: 3400, running mean: 3.511221
ep: 3500, running mean: 3.389745
ep: 3600, running mean: 3.198102
ep: 3700, running mean: 3.045359
ep: 3800, running mean: 2.907624
ep: 3900, running mean: 2.857528
ep: 4000, running mean: 2.908186
ep: 4100, running mean: 2.821529
ep: 4200, running mean: 2.724689
ep: 4300, running mean: 2.443428
ep: 4400, running mean: 2.539625
ep: 4500, running mean: 2.541801
ep: 4600, running mean: 2.568021
ep: 4700, running mean: 2.566747
ep: 4800, running mean: 2.759333
ep: 4900, running mean: 2.690009
ep: 5000, running mean: 2.603260
ep: 5100, running mean: 2.428055
ep: 5200, running mean: 2.577032
ep: 5300, running mean: 2.485159
ep: 5400, running mean: 2.549333
ep: 5500, running mean: 2.478585
ep: 5600, running mean: 2.488371
ep: 5700, running mean: 2.552949
ep: 5800, running mean: 2.635048
ep: 5900, running mean: 2.708846
ep: 6000, running mean: 2.678379
ep: 6100, running mean: 2.650595
ep: 6200, running mean: 2.680465
ep: 6300, running mean: 2.579080
ep: 6400, running mean: 2.539108
ep: 6500, running mean: 2.618830
ep: 6600, running mean: 2.601405
