ep: 100, running mean: -0.209132
ep: 200, running mean: -0.209568
ep: 300, running mean: -0.224822
ep: 400, running mean: -0.340759
ep: 500, running mean: -0.310877
ep: 600, running mean: -0.416873
ep: 700, running mean: -0.400613
ep: 800, running mean: -0.381684
ep: 900, running mean: -0.383979
ep: 1000, running mean: -0.577513
ep: 1100, running mean: -0.692608
ep: 1200, running mean: -0.763028
ep: 1300, running mean: -0.616051
ep: 1400, running mean: -0.695137
ep: 1500, running mean: -0.744718
ep: 1600, running mean: -0.790825
ep: 1700, running mean: -0.870335
ep: 1800, running mean: -0.899973
ep: 1900, running mean: -0.895259
ep: 2000, running mean: -0.808116
ep: 2100, running mean: -0.617454
ep: 2200, running mean: -0.496549
ep: 2300, running mean: -0.583581
ep: 2400, running mean: -0.487253
ep: 2500, running mean: -0.559027
ep: 2600, running mean: -0.448881
ep: 2700, running mean: -0.615837
ep: 2800, running mean: -0.676270
ep: 2900, running mean: -0.728106
ep: 3000, running mean: -0.637728
ep: 3100, running mean: -0.636150
ep: 3200, running mean: -0.676809
ep: 3300, running mean: -0.532323
ep: 3400, running mean: -0.524260
ep: 3500, running mean: -0.706514
ep: 3600, running mean: -0.638525
ep: 3700, running mean: -0.694294
ep: 3800, running mean: -0.628061
ep: 3900, running mean: -0.662200
ep: 4000, running mean: -0.597343
ep: 4100, running mean: -0.500791
ep: 4200, running mean: -0.319489
ep: 4300, running mean: -0.347512
ep: 4400, running mean: -0.323524
ep: 4500, running mean: -0.297386
ep: 4600, running mean: -0.311043
ep: 4700, running mean: -0.434146
ep: 4800, running mean: -0.304393
ep: 4900, running mean: -0.238153
ep: 5000, running mean: -0.349164
ep: 5100, running mean: -0.258676
ep: 5200, running mean: -0.218391
ep: 5300, running mean: -0.251903
ep: 5400, running mean: -0.245629
ep: 5500, running mean: -0.029564
ep: 5600, running mean: 0.045943
ep: 5700, running mean: 0.117923
ep: 5800, running mean: 0.028589
ep: 5900, running mean: 0.105822
ep: 6000, running mean: 0.159051
ep: 6100, running mean: 0.182255
ep: 6200, running mean: 0.086456
ep: 6300, running mean: 0.213904
ep: 6400, running mean: 0.329178
ep: 6500, running mean: 0.397410
ep: 6600, running mean: 0.314631
ep: 6700, running mean: 0.233989
ep: 6800, running mean: 0.363412
ep: 6900, running mean: 0.384038
ep: 7000, running mean: 0.269310
ep: 7100, running mean: 0.183062
ep: 7200, running mean: 0.342506
ep: 7300, running mean: 0.481584
ep: 7400, running mean: 0.643074
ep: 7500, running mean: 0.655758
ep: 7600, running mean: 0.597197
ep: 7700, running mean: 0.632923
ep: 7800, running mean: 0.726931
ep: 7900, running mean: 1.017189
ep: 8000, running mean: 1.037142
ep: 8100, running mean: 1.127396
ep: 8200, running mean: 0.981724
ep: 8300, running mean: 0.985305
ep: 8400, running mean: 0.827701
ep: 8500, running mean: 0.962692
ep: 8600, running mean: 0.963313
ep: 8700, running mean: 1.041236
ep: 8800, running mean: 1.015455
ep: 8900, running mean: 1.091306
ep: 9000, running mean: 1.043458
ep: 9100, running mean: 1.272172
ep: 9200, running mean: 1.248167
ep: 9300, running mean: 1.224304
ep: 9400, running mean: 1.216996
ep: 9500, running mean: 1.286958
ep: 9600, running mean: 1.376290
ep: 9700, running mean: 1.497803
ep: 9800, running mean: 1.428969
ep: 9900, running mean: 1.212417
ep: 10000, running mean: 1.308274
ep: 10100, running mean: 1.409581
ep: 10200, running mean: 1.559834
ep: 10300, running mean: 1.588644
ep: 10400, running mean: 1.596959
ep: 10500, running mean: 1.711184
ep: 10600, running mean: 1.544515
ep: 10700, running mean: 1.625943
