using saved model.
start learning - 2017-02-04 01:13:13.360000
ep: 100, running mean: -4.037869
ep: 200, running mean: -4.225286
ep: 300, running mean: -4.511438
ep: 400, running mean: -4.806944
ep: 500, running mean: -5.170299
ep: 600, running mean: -5.557152
ep: 700, running mean: -5.809742
ep: 800, running mean: -6.132574
ep: 900, running mean: -6.367042
ep: 1000, running mean: -6.581254
ep: 1100, running mean: -6.774573
ep: 1200, running mean: -7.005920
ep: 1300, running mean: -7.175712
ep: 1400, running mean: -7.367744
ep: 1500, running mean: -7.543690
ep: 1600, running mean: -7.740896
ep: 1700, running mean: -7.843134
ep: 1800, running mean: -7.954441
ep: 1900, running mean: -8.055088
ep: 2000, running mean: -8.221256
ep: 2100, running mean: -8.197212
ep: 2200, running mean: -8.273684
ep: 2300, running mean: -8.363415
ep: 2400, running mean: -8.384031
ep: 2500, running mean: -8.443200
ep: 2600, running mean: -8.495746
ep: 2700, running mean: -8.582889
ep: 2800, running mean: -8.527519
ep: 2900, running mean: -8.494951
ep: 3000, running mean: -8.600989
ep: 3100, running mean: -8.639076
ep: 3200, running mean: -8.672940
ep: 3300, running mean: -8.684332
ep: 3400, running mean: -8.675629
ep: 3500, running mean: -8.744999
ep: 3600, running mean: -8.692015
ep: 3700, running mean: -8.719039
ep: 3800, running mean: -8.724422
ep: 3900, running mean: -8.672485
ep: 4000, running mean: -8.706013
ep: 4100, running mean: -8.656401
ep: 4200, running mean: -8.687808
ep: 4300, running mean: -8.642428
ep: 4400, running mean: -8.716491
ep: 4500, running mean: -8.723927
ep: 4600, running mean: -8.788095
ep: 4700, running mean: -8.846902
ep: 4800, running mean: -8.859688
ep: 4900, running mean: -8.890687
ep: 5000, running mean: -8.939294
ep: 5100, running mean: -8.870069
ep: 5200, running mean: -8.900087
ep: 5300, running mean: -8.966817
ep: 5400, running mean: -8.989509
ep: 5500, running mean: -9.009619
ep: 5600, running mean: -8.967087
ep: 5700, running mean: -9.028568
ep: 5800, running mean: -9.064773
ep: 5900, running mean: -9.077897
ep: 6000, running mean: -9.071679
ep: 6100, running mean: -9.085299
ep: 6200, running mean: -9.154120
ep: 6300, running mean: -9.082387
ep: 6400, running mean: -9.057673
ep: 6500, running mean: -9.090692
ep: 6600, running mean: -9.062714
ep: 6700, running mean: -9.094092
ep: 6800, running mean: -9.103652
ep: 6900, running mean: -9.092707
ep: 7000, running mean: -9.046842
ep: 7100, running mean: -9.043013
ep: 7200, running mean: -9.097228
ep: 7300, running mean: -9.106480
ep: 7400, running mean: -9.135191
ep: 7500, running mean: -9.140035
ep: 7600, running mean: -9.128846
ep: 7700, running mean: -9.095475
ep: 7800, running mean: -9.163322
ep: 7900, running mean: -9.166660
ep: 8000, running mean: -9.131980
ep: 8100, running mean: -9.158082
ep: 8200, running mean: -9.087537
ep: 8300, running mean: -9.117516
ep: 8400, running mean: -9.125005
ep: 8500, running mean: -9.132583
ep: 8600, running mean: -9.060400
ep: 8700, running mean: -9.016254
ep: 8800, running mean: -9.015579
ep: 8900, running mean: -9.034168
ep: 9000, running mean: -8.974506
ep: 9100, running mean: -9.033748
ep: 9200, running mean: -9.067903
ep: 9300, running mean: -9.081307
ep: 9400, running mean: -9.092066
ep: 9500, running mean: -9.119873
ep: 9600, running mean: -9.204029
ep: 9700, running mean: -9.223632
ep: 9800, running mean: -9.278655
ep: 9900, running mean: -9.308816
ep: 10000, running mean: -9.279607
ep: 10100, running mean: -9.137613
ep: 10200, running mean: -9.123599
ep: 10300, running mean: -9.131110
ep: 10400, running mean: -9.194980
ep: 10500, running mean: -9.214672
ep: 10600, running mean: -9.251340
ep: 10700, running mean: -9.303323
ep: 10800, running mean: -9.216932
ep: 10900, running mean: -9.158801
ep: 11000, running mean: -9.142733
ep: 11100, running mean: -9.109952
ep: 11200, running mean: -9.138562
ep: 11300, running mean: -9.107531
ep: 11400, running mean: -9.116947
ep: 11500, running mean: -9.124692
ep: 11600, running mean: -9.036369
ep: 11700, running mean: -9.033009
ep: 11800, running mean: -8.914209
ep: 11900, running mean: -8.980556
ep: 12000, running mean: -8.906219
ep: 12100, running mean: -8.953931
ep: 12200, running mean: -9.016081
ep: 12300, running mean: -9.071342
ep: 12400, running mean: -9.102277
ep: 12500, running mean: -8.957049
ep: 12600, running mean: -8.999709
ep: 12700, running mean: -8.999829
ep: 12800, running mean: -9.018769
ep: 12900, running mean: -8.996508
ep: 13000, running mean: -8.959663
ep: 13100, running mean: -8.983422
ep: 13200, running mean: -9.021219
ep: 13300, running mean: -9.057724
ep: 13400, running mean: -8.995577
ep: 13500, running mean: -9.013957
ep: 13600, running mean: -9.068240
ep: 13700, running mean: -9.002834
ep: 13800, running mean: -9.001890
ep: 13900, running mean: -8.965119
ep: 14000, running mean: -8.815379
ep: 14100, running mean: -8.870407
ep: 14200, running mean: -8.883484
ep: 14300, running mean: -8.932567
ep: 14400, running mean: -8.900902
ep: 14500, running mean: -8.987725
ep: 14600, running mean: -9.046274
ep: 14700, running mean: -9.079818
ep: 14800, running mean: -9.093607
ep: 14900, running mean: -9.045182
ep: 15000, running mean: -9.043452
ep: 15100, running mean: -9.097254
ep: 15200, running mean: -9.107641
ep: 15300, running mean: -9.097441
ep: 15400, running mean: -9.126291
ep: 15500, running mean: -9.076081
ep: 15600, running mean: -9.052346
ep: 15700, running mean: -9.065523
ep: 15800, running mean: -9.078582
ep: 15900, running mean: -9.071760
ep: 16000, running mean: -9.120916
ep: 16100, running mean: -9.129641
ep: 16200, running mean: -9.136376
ep: 16300, running mean: -9.199934
ep: 16400, running mean: -9.238011
ep: 16500, running mean: -9.235716
ep: 16600, running mean: -9.175806
ep: 16700, running mean: -9.083005
ep: 16800, running mean: -9.057673
ep: 16900, running mean: -9.051103
ep: 17000, running mean: -9.083793
ep: 17100, running mean: -9.056854
ep: 17200, running mean: -9.089572
ep: 17300, running mean: -9.062461
ep: 17400, running mean: -9.113086
ep: 17500, running mean: -9.121228
ep: 17600, running mean: -9.167964
ep: 17700, running mean: -9.228692
ep: 17800, running mean: -9.263613
ep: 17900, running mean: -9.295384
ep: 18000, running mean: -9.284730
ep: 18100, running mean: -9.256273
ep: 18200, running mean: -9.232989
ep: 18300, running mean: -9.194472
ep: 18400, running mean: -9.197479
ep: 18500, running mean: -9.123703
ep: 18600, running mean: -9.015480
ep: 18700, running mean: -8.936228
ep: 18800, running mean: -8.963369
ep: 18900, running mean: -8.947185
ep: 19000, running mean: -8.971557
ep: 19100, running mean: -8.954561
ep: 19200, running mean: -8.959357
ep: 19300, running mean: -8.980447
ep: 19400, running mean: -8.999915
ep: 19500, running mean: -9.039800
ep: 19600, running mean: -9.018810
ep: 19700, running mean: -9.054776
ep: 19800, running mean: -8.988899
ep: 19900, running mean: -9.027544
ep: 20000, running mean: -9.083617
ep: 20100, running mean: -9.035165
ep: 20200, running mean: -8.993624
ep: 20300, running mean: -8.994910
ep: 20400, running mean: -9.034123
ep: 20500, running mean: -8.993856
ep: 20600, running mean: -8.921103
ep: 20700, running mean: -8.966425
ep: 20800, running mean: -9.008181
ep: 20900, running mean: -9.026716
ep: 21000, running mean: -9.060768
ep: 21100, running mean: -9.056567
ep: 21200, running mean: -8.993943
ep: 21300, running mean: -8.976160
ep: 21400, running mean: -8.920133
ep: 21500, running mean: -8.889990
ep: 21600, running mean: -8.939428
ep: 21700, running mean: -9.003356
ep: 21800, running mean: -9.002589
ep: 21900, running mean: -9.004181
ep: 22000, running mean: -9.003295
ep: 22100, running mean: -9.041531
ep: 22200, running mean: -9.057035
ep: 22300, running mean: -9.053601
ep: 22400, running mean: -9.028599
ep: 22500, running mean: -9.084757
ep: 22600, running mean: -9.095015
ep: 22700, running mean: -9.049330
ep: 22800, running mean: -9.062582
ep: 22900, running mean: -9.095335
ep: 23000, running mean: -9.163382
ep: 23100, running mean: -9.145358
ep: 23200, running mean: -9.093120
ep: 23300, running mean: -9.100826
ep: 23400, running mean: -9.089171
ep: 23500, running mean: -9.118981
ep: 23600, running mean: -9.128651
ep: 23700, running mean: -9.135859
ep: 23800, running mean: -9.181204
ep: 23900, running mean: -9.221241
ep: 24000, running mean: -9.256298
ep: 24100, running mean: -9.250362
ep: 24200, running mean: -9.225168
ep: 24300, running mean: -9.204114
ep: 24400, running mean: -9.203909
ep: 24500, running mean: -9.109384
ep: 24600, running mean: -9.080203
ep: 24700, running mean: -9.112972
ep: 24800, running mean: -9.139174
ep: 24900, running mean: -9.162864
ep: 25000, running mean: -9.166427
ep: 25100, running mean: -9.188488
ep: 25200, running mean: -9.170755
ep: 25300, running mean: -9.192986
ep: 25400, running mean: -9.195369
ep: 25500, running mean: -9.252506
ep: 25600, running mean: -9.171157
ep: 25700, running mean: -9.135295
ep: 25800, running mean: -9.082881
ep: 25900, running mean: -9.073490
ep: 26000, running mean: -9.104431
ep: 26100, running mean: -9.058011
ep: 26200, running mean: -9.030638
ep: 26300, running mean: -9.026454
ep: 26400, running mean: -9.099742
ep: 26500, running mean: -9.109932
ep: 26600, running mean: -9.062426
ep: 26700, running mean: -9.056943
ep: 26800, running mean: -9.108287
ep: 26900, running mean: -9.057491
ep: 27000, running mean: -9.090539
ep: 27100, running mean: -9.120244
ep: 27200, running mean: -9.146913
ep: 27300, running mean: -9.077979
ep: 27400, running mean: -9.109068
ep: 27500, running mean: -9.116036
ep: 27600, running mean: -9.104437
ep: 27700, running mean: -9.054768
ep: 27800, running mean: -9.088264
ep: 27900, running mean: -9.041651
ep: 28000, running mean: -9.039503
ep: 28100, running mean: -9.072926
ep: 28200, running mean: -9.067790
ep: 28300, running mean: -9.119073
ep: 28400, running mean: -9.165050
ep: 28500, running mean: -9.150710
ep: 28600, running mean: -9.137377
ep: 28700, running mean: -9.086469
ep: 28800, running mean: -9.057901
ep: 28900, running mean: -9.090149
ep: 29000, running mean: -9.100274
ep: 29100, running mean: -9.089424
ep: 29200, running mean: -9.101121
ep: 29300, running mean: -9.110765
ep: 29400, running mean: -9.023815
ep: 29500, running mean: -9.042393
ep: 29600, running mean: -9.001547
ep: 29700, running mean: -9.002083
ep: 29800, running mean: -8.964297
ep: 29900, running mean: -9.023727
ep: 30000, running mean: -9.097864
ep: 30100, running mean: -8.995573
ep: 30200, running mean: -9.032795
ep: 30300, running mean: -8.989222
ep: 30400, running mean: -8.988809
ep: 30500, running mean: -8.967869
ep: 30600, running mean: -8.989098
ep: 30700, running mean: -9.048284
ep: 30800, running mean: -9.006873
ep: 30900, running mean: -9.025145
ep: 31000, running mean: -9.043213
ep: 31100, running mean: -9.097038
ep: 31200, running mean: -9.125711
ep: 31300, running mean: -9.170301
ep: 31400, running mean: -9.153556
ep: 31500, running mean: -9.118992
ep: 31600, running mean: -9.184020
ep: 31700, running mean: -9.125564
ep: 31800, running mean: -9.111703
ep: 31900, running mean: -9.137234
ep: 32000, running mean: -9.200710
ep: 32100, running mean: -9.105703
ep: 32200, running mean: -9.096471
ep: 32300, running mean: -9.052154
ep: 32400, running mean: -9.046289
ep: 32500, running mean: -9.021565
ep: 32600, running mean: -9.019052
ep: 32700, running mean: -9.055781
ep: 32800, running mean: -8.973308
ep: 32900, running mean: -8.975756
ep: 33000, running mean: -9.016602
ep: 33100, running mean: -9.036060
ep: 33200, running mean: -8.974278
ep: 33300, running mean: -9.035630
ep: 33400, running mean: -9.033493
ep: 33500, running mean: -9.028857
ep: 33600, running mean: -8.968722
ep: 33700, running mean: -8.912222
ep: 33800, running mean: -8.979137
ep: 33900, running mean: -9.019865
ep: 34000, running mean: -8.979221
ep: 34100, running mean: -9.020900
ep: 34200, running mean: -9.016464
ep: 34300, running mean: -9.053049
ep: 34400, running mean: -9.085757
ep: 34500, running mean: -9.134361
ep: 34600, running mean: -9.140635
ep: 34700, running mean: -9.146315
ep: 34800, running mean: -9.170476
ep: 34900, running mean: -9.154271
ep: 35000, running mean: -9.100214
ep: 35100, running mean: -9.090742
ep: 35200, running mean: -9.120220
ep: 35300, running mean: -9.106907
ep: 35400, running mean: -9.078728
ep: 35500, running mean: -9.109371
ep: 35600, running mean: -9.061183
ep: 35700, running mean: -9.094827
ep: 35800, running mean: -9.103334
ep: 35900, running mean: -9.072434
ep: 36000, running mean: -9.085598
ep: 36100, running mean: -9.058094
ep: 36200, running mean: -9.091445
ep: 36300, running mean: -9.120088
ep: 36400, running mean: -9.089457
ep: 36500, running mean: -9.043703
ep: 36600, running mean: -9.019244
ep: 36700, running mean: -9.056320
ep: 36800, running mean: -8.993385
ep: 36900, running mean: -9.050230
ep: 37000, running mean: -9.044755
ep: 37100, running mean: -9.000979
ep: 37200, running mean: -9.038836
ep: 37300, running mean: -8.993098
ep: 37400, running mean: -9.013452
ep: 37500, running mean: -9.013818
ep: 37600, running mean: -9.012406
ep: 37700, running mean: -8.973073
ep: 37800, running mean: -8.994026
ep: 37900, running mean: -8.992387
ep: 38000, running mean: -9.012231
ep: 38100, running mean: -8.915822
ep: 38200, running mean: -8.980867
ep: 38300, running mean: -9.021809
ep: 38400, running mean: -9.000984
ep: 38500, running mean: -9.001557
ep: 38600, running mean: -9.058006
ep: 38700, running mean: -9.032942
ep: 38800, running mean: -8.975094
ep: 38900, running mean: -8.941807
ep: 39000, running mean: -8.965352
ep: 39100, running mean: -8.987406
ep: 39200, running mean: -9.046757
ep: 39300, running mean: -9.022996
ep: 39400, running mean: -9.020334
ep: 39500, running mean: -8.904464
ep: 39600, running mean: -8.874679
ep: 39700, running mean: -8.943639
ep: 39800, running mean: -8.890473
ep: 39900, running mean: -8.899897
ep: 40000, running mean: -9.005086
ep: 40100, running mean: -9.043693
ep: 40200, running mean: -9.059611
ep: 40300, running mean: -9.092070
ep: 40400, running mean: -9.083739
ep: 40500, running mean: -9.075053
ep: 40600, running mean: -9.086224
ep: 40700, running mean: -9.134777
ep: 40800, running mean: -9.084686
ep: 40900, running mean: -9.113585
ep: 41000, running mean: -9.024814
ep: 41100, running mean: -8.962972
ep: 41200, running mean: -9.004297
ep: 41300, running mean: -9.003406
ep: 41400, running mean: -9.020088
ep: 41500, running mean: -9.056501
ep: 41600, running mean: -8.992966
ep: 41700, running mean: -8.958749
ep: 41800, running mean: -8.982030
ep: 41900, running mean: -9.005729
ep: 42000, running mean: -9.005652
ep: 42100, running mean: -8.968106
ep: 42200, running mean: -8.952801
ep: 42300, running mean: -8.917035
ep: 42400, running mean: -8.942937
ep: 42500, running mean: -8.931764
ep: 42600, running mean: -8.958183
ep: 42700, running mean: -8.980524
ep: 42800, running mean: -8.906004
ep: 42900, running mean: -8.953740
ep: 43000, running mean: -8.898493
ep: 43100, running mean: -8.945207
ep: 43200, running mean: -8.950355
ep: 43300, running mean: -8.955193
ep: 43400, running mean: -8.960099
ep: 43500, running mean: -8.984370
ep: 43600, running mean: -8.928329
ep: 43700, running mean: -8.878568
ep: 43800, running mean: -8.816488
ep: 43900, running mean: -8.910824
ep: 44000, running mean: -8.957308
ep: 44100, running mean: -8.939172
ep: 44200, running mean: -9.002734
ep: 44300, running mean: -9.021619
ep: 44400, running mean: -9.096340
ep: 44500, running mean: -9.125866
ep: 44600, running mean: -9.150831
ep: 44700, running mean: -9.118440
ep: 44800, running mean: -9.126061
ep: 44900, running mean: -9.058559
ep: 45000, running mean: -9.033073
ep: 45100, running mean: -9.068439
ep: 45200, running mean: -9.082748
ep: 45300, running mean: -9.094345
ep: 45400, running mean: -9.143275
ep: 45500, running mean: -9.127556
ep: 45600, running mean: -9.038198
ep: 45700, running mean: -8.956236
ep: 45800, running mean: -8.920146
ep: 45900, running mean: -8.851924
ep: 46000, running mean: -8.809110
ep: 46100, running mean: -8.826888
ep: 46200, running mean: -8.920604
ep: 46300, running mean: -8.907546
ep: 46400, running mean: -8.915518
ep: 46500, running mean: -8.867397
ep: 46600, running mean: -8.957053
ep: 46700, running mean: -8.980105
ep: 46800, running mean: -9.020725
ep: 46900, running mean: -9.056689
ep: 47000, running mean: -8.993368
ep: 47100, running mean: -8.955637
ep: 47200, running mean: -8.862547
ep: 47300, running mean: -8.837728
ep: 47400, running mean: -8.819105
ep: 47500, running mean: -8.776937
ep: 47600, running mean: -8.816046
ep: 47700, running mean: -8.757817
ep: 47800, running mean: -8.664988
ep: 47900, running mean: -8.676179
ep: 48000, running mean: -8.745693
ep: 48100, running mean: -8.768754
ep: 48200, running mean: -8.711760
ep: 48300, running mean: -8.701160
ep: 48400, running mean: -8.786340
ep: 48500, running mean: -8.786903
ep: 48600, running mean: -8.902897
ep: 48700, running mean: -8.851150
ep: 48800, running mean: -8.768791
ep: 48900, running mean: -8.694919
ep: 49000, running mean: -8.725153
ep: 49100, running mean: -8.768832
ep: 49200, running mean: -8.714318
ep: 49300, running mean: -8.740565
ep: 49400, running mean: -8.783727
ep: 49500, running mean: -8.881754
ep: 49600, running mean: -8.739807
ep: 49700, running mean: -8.706754
ep: 49800, running mean: -8.697434
ep: 49900, running mean: -8.612688
ep: 50000, running mean: -8.668659
ep: 50100, running mean: -8.720430
ep: 50200, running mean: -8.709408
ep: 50300, running mean: -8.644288
ep: 50400, running mean: -8.755088
ep: 50500, running mean: -8.740315
ep: 50600, running mean: -8.649918
ep: 50700, running mean: -8.644833
ep: 50800, running mean: -8.678131
ep: 50900, running mean: -8.670395
ep: 51000, running mean: -8.684342
ep: 51100, running mean: -8.678470
ep: 51200, running mean: -8.747358
ep: 51300, running mean: -8.790036
ep: 51400, running mean: -8.886711
ep: 51500, running mean: -8.954891
ep: 51600, running mean: -8.977759
ep: 51700, running mean: -8.922127
ep: 51800, running mean: -8.965191
ep: 51900, running mean: -9.025682
ep: 52000, running mean: -9.061362
ep: 52100, running mean: -9.057111
ep: 52200, running mean: -9.052152
ep: 52300, running mean: -9.085134
ep: 52400, running mean: -9.078832
ep: 52500, running mean: -9.071796
ep: 52600, running mean: -9.044656
ep: 52700, running mean: -9.060459
ep: 52800, running mean: -9.110496
ep: 52900, running mean: -9.100799
ep: 53000, running mean: -9.092983
ep: 53100, running mean: -9.064598
ep: 53200, running mean: -9.018556
ep: 53300, running mean: -9.037431
ep: 53400, running mean: -9.016083
ep: 53500, running mean: -8.977125
ep: 53600, running mean: -8.959026
ep: 53700, running mean: -9.000700
ep: 53800, running mean: -8.791274
ep: 53900, running mean: -8.737920
ep: 54000, running mean: -8.800956
ep: 54100, running mean: -8.856976
ep: 54200, running mean: -8.870742
ep: 54300, running mean: -8.883772
ep: 54400, running mean: -8.932827
ep: 54500, running mean: -8.827685
ep: 54600, running mean: -8.901544
ep: 54700, running mean: -8.910869
ep: 54800, running mean: -8.919490
ep: 54900, running mean: -8.985710
ep: 55000, running mean: -8.968908
ep: 55100, running mean: -8.954475
ep: 55200, running mean: -8.978907
ep: 55300, running mean: -9.036940
ep: 55400, running mean: -8.974498
ep: 55500, running mean: -8.994893
ep: 55600, running mean: -8.978154
ep: 55700, running mean: -9.017406
ep: 55800, running mean: -8.978352
ep: 55900, running mean: -8.903668
ep: 56000, running mean: -8.875116
ep: 56100, running mean: -8.887526
ep: 56200, running mean: -8.843990
ep: 56300, running mean: -8.838817
ep: 56400, running mean: -8.872202
ep: 56500, running mean: -8.809190
ep: 56600, running mean: -8.770469
ep: 56700, running mean: -8.792713
ep: 56800, running mean: -8.791695
ep: 56900, running mean: -8.752313
ep: 57000, running mean: -8.735757
ep: 57100, running mean: -8.799357
ep: 57200, running mean: -8.894754
ep: 57300, running mean: -8.903388
ep: 57400, running mean: -8.910416
ep: 57500, running mean: -8.900807
ep: 57600, running mean: -8.928866
ep: 57700, running mean: -8.937672
ep: 57800, running mean: -8.866482
ep: 57900, running mean: -8.896453
ep: 58000, running mean: -8.946411
ep: 58100, running mean: -8.989678
ep: 58200, running mean: -9.009199
ep: 58300, running mean: -8.988638
ep: 58400, running mean: -9.028080
ep: 58500, running mean: -9.026090
ep: 58600, running mean: -9.004835
ep: 58700, running mean: -8.965445
ep: 58800, running mean: -9.005935
ep: 58900, running mean: -9.006454
ep: 59000, running mean: -9.044191
ep: 59100, running mean: -8.945530
ep: 59200, running mean: -8.930659
ep: 59300, running mean: -8.897420
ep: 59400, running mean: -8.833342
ep: 59500, running mean: -8.886625
ep: 59600, running mean: -8.915629
ep: 59700, running mean: -8.944933
ep: 59800, running mean: -8.912420
ep: 59900, running mean: -8.880900
ep: 60000, running mean: -8.931204
ep: 60100, running mean: -8.976894
ep: 60200, running mean: -8.942859
ep: 60300, running mean: -9.025111
ep: 60400, running mean: -9.023371
