using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
using saved model.
start training - 2017-02-05 14:35:54.876000
ep: 100, running mean: -7.845656
ep: 200, running mean: -7.782202
ep: 300, running mean: -7.684827
ep: 400, running mean: -7.486969
ep: 500, running mean: -7.191049
ep: 600, running mean: -6.932589
ep: 700, running mean: -6.703716
ep: 800, running mean: -6.483199
ep: 900, running mean: -6.417585
ep: 1000, running mean: -6.264846
ep: 1100, running mean: -6.104041
ep: 1200, running mean: -5.960364
ep: 1300, running mean: -5.791767
ep: 1400, running mean: -5.681136
ep: 1500, running mean: -5.503343
ep: 1600, running mean: -5.221969
ep: 1700, running mean: -5.217570
ep: 1800, running mean: -5.118901
ep: 1900, running mean: -5.027898
ep: 2000, running mean: -5.085461
ep: 2100, running mean: -5.079134
ep: 2200, running mean: -4.971687
ep: 2300, running mean: -5.032353
ep: 2400, running mean: -5.071309
ep: 2500, running mean: -4.952670
ep: 2600, running mean: -4.787929
ep: 2700, running mean: -4.693152
ep: 2800, running mean: -4.760051
ep: 2900, running mean: -4.633173
ep: 3000, running mean: -4.570903
ep: 3100, running mean: -4.458461
ep: 3200, running mean: -4.554350
ep: 3300, running mean: -4.748306
ep: 3400, running mean: -4.618384
ep: 3500, running mean: -4.406818
using saved model.
ep: 3600, running mean: -4.504380
ep: 3700, running mean: -4.473227
ep: 3800, running mean: -4.369770
ep: 3900, running mean: -4.389900
ep: 4000, running mean: -4.219503
ep: 4100, running mean: -4.197164
ep: 4200, running mean: -4.137372
ep: 4300, running mean: -3.987732
ep: 4400, running mean: -3.892646
ep: 4500, running mean: -3.789738
ep: 4600, running mean: -3.770864
ep: 4700, running mean: -3.656454
ep: 4800, running mean: -3.555119
ep: 4900, running mean: -3.615901
ep: 5000, running mean: -3.520213
ep: 5100, running mean: -3.664278
ep: 5200, running mean: -3.580089
ep: 5300, running mean: -3.485623
ep: 5400, running mean: -3.499073
ep: 5500, running mean: -3.393833
ep: 5600, running mean: -3.315517
ep: 5700, running mean: -3.193872
ep: 5800, running mean: -3.101800
ep: 5900, running mean: -3.033085
ep: 6000, running mean: -3.009680
ep: 6100, running mean: -2.987501
ep: 6200, running mean: -3.102773
ep: 6300, running mean: -3.072745
ep: 6400, running mean: -3.024766
ep: 6500, running mean: -3.037298
ep: 6600, running mean: -2.971951
ep: 6700, running mean: -3.089265
ep: 6800, running mean: -3.039644
ep: 6900, running mean: -3.016036
ep: 7000, running mean: -3.186240
ep: 7100, running mean: -3.149315
ep: 7200, running mean: -3.096352
ep: 7300, running mean: -3.299061
