using saved model.
start training - 2017-02-05 15:44:37.348000
ep: 100, running mean: -5.882782
ep: 200, running mean: -5.678928
ep: 300, running mean: -5.537412
ep: 400, running mean: -5.524615
ep: 500, running mean: -5.396723
ep: 600, running mean: -5.259640
ep: 700, running mean: -5.139763
ep: 800, running mean: -5.089212
ep: 900, running mean: -4.870708
ep: 1000, running mean: -4.672881
ep: 1100, running mean: -4.476903
ep: 1200, running mean: -4.355210
ep: 1300, running mean: -4.400255
ep: 1400, running mean: -4.301615
ep: 1500, running mean: -4.252581
ep: 1600, running mean: -4.207293
ep: 1700, running mean: -4.170426
ep: 1800, running mean: -4.173532
ep: 1900, running mean: -4.216652
ep: 2000, running mean: -4.115785
ep: 2100, running mean: -4.221581
ep: 2200, running mean: -4.144469
ep: 2300, running mean: -4.092435
ep: 2400, running mean: -4.046108
ep: 2500, running mean: -4.177005
ep: 2600, running mean: -4.028041
ep: 2700, running mean: -4.078188
ep: 2800, running mean: -3.941976
ep: 2900, running mean: -4.009193
ep: 3000, running mean: -4.102110
ep: 3100, running mean: -4.206899
ep: 3200, running mean: -4.381410
ep: 3300, running mean: -4.502910
ep: 3400, running mean: -4.535120
ep: 3500, running mean: -4.635785
ep: 3600, running mean: -4.787017
ep: 3700, running mean: -4.690708
ep: 3800, running mean: -4.873889
ep: 3900, running mean: -4.807611
ep: 4000, running mean: -4.788267
ep: 4100, running mean: -4.675418
ep: 4200, running mean: -4.689483
ep: 4300, running mean: -4.547239
ep: 4400, running mean: -4.566545
ep: 4500, running mean: -4.607901
ep: 4600, running mean: -4.552658
ep: 4700, running mean: -4.690850
ep: 4800, running mean: -4.738566
ep: 4900, running mean: -4.766947
ep: 5000, running mean: -4.868112
ep: 5100, running mean: -5.053992
ep: 5200, running mean: -5.104700
ep: 5300, running mean: -5.114148
ep: 5400, running mean: -5.065851
ep: 5500, running mean: -4.984726
ep: 5600, running mean: -5.156765
ep: 5700, running mean: -5.253754
ep: 5800, running mean: -5.266083
ep: 5900, running mean: -5.186007
ep: 6000, running mean: -5.189224
ep: 6100, running mean: -5.344207
ep: 6200, running mean: -5.351504
ep: 6300, running mean: -5.336628
ep: 6400, running mean: -5.134620
ep: 6500, running mean: -4.949098
ep: 6600, running mean: -4.989858
ep: 6700, running mean: -5.010155
ep: 6800, running mean: -4.952762
ep: 6900, running mean: -4.940859
ep: 7000, running mean: -4.812023
ep: 7100, running mean: -4.637431
ep: 7200, running mean: -4.690861
ep: 7300, running mean: -4.661378
ep: 7400, running mean: -4.598717
ep: 7500, running mean: -4.525458
ep: 7600, running mean: -4.378117
ep: 7700, running mean: -4.244386
ep: 7800, running mean: -4.242525
ep: 7900, running mean: -4.160944
ep: 8000, running mean: -4.044492
ep: 8100, running mean: -4.036560
ep: 8200, running mean: -4.107579
ep: 8300, running mean: -4.253384
ep: 8400, running mean: -4.271029
ep: 8500, running mean: -4.278338
ep: 8600, running mean: -4.176215
ep: 8700, running mean: -4.235489
ep: 8800, running mean: -4.368295
ep: 8900, running mean: -4.462420
ep: 9000, running mean: -4.380494
ep: 9100, running mean: -4.305500
ep: 9200, running mean: -4.294914
ep: 9300, running mean: -4.283054
ep: 9400, running mean: -4.177164
ep: 9500, running mean: -4.292853
ep: 9600, running mean: -4.186197
ep: 9700, running mean: -4.110387
ep: 9800, running mean: -4.293802
ep: 9900, running mean: -4.397997
ep: 10000, running mean: -4.358564
ep: 10100, running mean: -4.055906
ep: 10200, running mean: -4.113571
ep: 10300, running mean: -4.120198
ep: 10400, running mean: -4.056102
ep: 10500, running mean: -4.086879
ep: 10600, running mean: -4.061671
ep: 10700, running mean: -4.134186
ep: 10800, running mean: -4.179598
ep: 10900, running mean: -4.165665
ep: 11000, running mean: -4.127148
ep: 11100, running mean: -4.322816
ep: 11200, running mean: -4.425340
ep: 11300, running mean: -4.348364
ep: 11400, running mean: -4.349844
ep: 11500, running mean: -4.293153
ep: 11600, running mean: -4.307404
ep: 11700, running mean: -4.333748
ep: 11800, running mean: -4.359354
ep: 11900, running mean: -4.501964
ep: 12000, running mean: -4.454711
ep: 12100, running mean: -4.374917
ep: 12200, running mean: -4.300615
